"metric","value","basis","notes"
"NON-BRANDED MENTION SHARE","NOT TESTED (0/52 AI prompts)","6 plataformas sem acesso autenticado","execução manual pendente (17)"
"MAIN DOMAIN CITATION SHARE","NOT TESTED","idem","proxy SERP: presença em 6/12 buscas amostrais"
"OWNED ECOSYSTEM VISIBILITY","SERP SAMPLE: alefotografo 6/12, alefotografos 2/12, alemachado 1/12, VC 0/12","amostra única 21/09","videoscorporativos ausente inclusive em buscas de vídeo"
"CORRECT PAGE RATE","NOT TESTED em IA; SERP SAMPLE: parcial (blog acima de serviço em 2 clusters; URL legada em 1)","04/08",""
"ENTITY ACCURACY","site 100% consistente (nome/pessoa/cidade/+30anos/1999/telefone); IA NOT TESTED","auditoria estática 21/09","05"
"COMMERCIAL INTENT COVERAGE","SERP SAMPLE: 5/11 clusters com presença própria (corporate, events, logistics, legal, integrated video)","amostra","ausentes: portrait, linkedin, video puro, drone, photo_activation, industry"
"LOCAL INTENT COVERAGE","presença correta nas buscas SP amostradas (corporate, eventos, advocacia, logística)","amostra",""
"OWNED DOMAIN LEAKAGE","2 casos AMBIGUOUS (alemachado advocacia, ales logística) + 1 LEGACY_LEAKAGE (/loja em ""foto profissional"")","07",""
"VIDEO ECOSYSTEM VISIBILITY","main domain hub existe; specialist domain (VC) 0/12 na amostra","14","prioridade"
"DRONE VISIBILITY","0/12; SERP dominada por mídia/stock; página própria fina","13",""
"EVENT VISIBILITY","presente e forte (top ~2 nas buscas de eventos)","amostra",""
"LOGISTICS VISIBILITY","presente (3 URLs próprias na busca)","amostra","forte"
