"url","page_type","cluster","clear_answer","entity_clear","location_clear","service_clear","first_hand_evidence","client_evidence","images","video","author_identity","structured_data","unique_information","citation_readiness","gap"
"/foto-profissional","MONEY","professional_photo","YES","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (16 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","GOOD — mas página quase sem impressões no GSC; conteúdo bom não é a URL ranqueada","medium"
"/fotografo-corporativo","HUB","corporate","THIN(394w)","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (42 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","THIN TEXT (394w) — galeria pesada; IA extrai pouco texto citável","medium"
"/foto-profissional-para-linkedin","MONEY","linkedin","THIN(720w)","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (10 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","GOOD","high"
"/fotografia-executiva","MONEY","portrait","YES","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (16 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","GOOD","high"
"/eventos-corporativos","MONEY","events","YES","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (16 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","GOOD","high"
"/fotografo-corporativo/fotografo-de-eventos-corporativos","MONEY","events","THIN(587w)","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (22 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","GOOD","high"
"/fotografo-corporativo/fotografia-de-logistica","MONEY","logistics","YES","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (22 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","GOOD — cluster P17; falta Case ATIVA nomeado","high"
"/fotografo-corporativo/fotografia-industrial-em-sp","MONEY","industry","THIN(431w)","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (22 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","THIN (431w) + sem case nomeado (SQ Química/Nitriflex existem mas não como prova estruturada)","medium"
"/fotografia-para-advogados","MONEY","legal","YES","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (17 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","GOOD — citável; case Rocha & Queiroz potencial","high"
"/fotos-profissionais-medicos","MONEY","health","YES","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (17 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","GOOD","high"
"/fotografo-corporativo/fotos-aereas","MONEY","drone","THIN(465w)","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (22 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","THIN (465w) para intenção; ""acompanhamento de obra"" sem conteúdo dedicado","low"
"/fotografo-corporativo/totem-fotografico-totem-mania","MONEY","photo_activation","THIN(n/aw)","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (n/a imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","n/a","n/a"
"/videos","HUB","video_integrated","YES","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (26 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","GOOD para foto+video integrado; para vídeo puro o ownership é do VC","medium"
"/quem-e-o-ale","ABOUT","entity","THIN(583w)","YES","YES","YES","YES (nomes de clientes)","YES (mencionada)","YES (17 imgs)","YES","YES (Alexandre Machado)","YES (LocalBusiness+Person)","PARTIAL","GOOD — entidade clara","high"
