"cluster","query","preferred_page","engine","cited_page","correct_page","mention_without_citation","notes"
"professional_photo","foto profissional","TARGET PAGE UNDER REVIEW","SERP SAMPLE","/loja?img_picture=... (legado)","NO","n/a","GSC: 17.107 impr na query, 59 na página — intenção capturada por home/blog; NÃO assumir /foto-profissional até query×page"
"linkedin","foto para LinkedIn","/foto-profissional-para-linkedin","SERP SAMPLE","nenhum","n/a","n/a","zero presença própria na amostra"
"corporate","fotógrafo corporativo em São Paulo","/fotografo-corporativo","SERP SAMPLE","/fotografo-corporativo","YES","n/a",""
"events","fotógrafo para eventos corporativos em São Paulo","/fotografo-corporativo/fotografo-de-eventos-corporativos","SERP SAMPLE","id","YES","n/a",""
"logistics","fotógrafo especializado em logística","/fotografo-corporativo/fotografia-de-logistica","SERP SAMPLE","blog + página de serviço","PARTIAL","n/a","blog aparece acima da página de serviço"
"video","vídeos corporativos","videoscorporativos.com.br (ownership)","SERP SAMPLE","nenhum próprio","n/a","n/a","VC ausente"
"drone","fotos aéreas com drone","/fotografo-corporativo/fotos-aereas","SERP SAMPLE","nenhum","n/a","n/a","página existe mas é fina (465 palavras) e SERP dominada por mídia"
"photo_activation","totem fotográfico para eventos","/fotografo-corporativo/totem-fotografico-totem-mania","SERP SAMPLE","nenhum","n/a","n/a","página real é -totem-mania (a URL /totem-fotografico é 404 — corrigida no mapa"
"legal","fotógrafo para escritórios de advocacia","/fotografia-para-advogados","SERP SAMPLE","alemachado (Alboom) + página própria + blog","PARTIAL","n/a","melhor cluster próprio da amostra"
"portrait","retrato profissional","TARGET PAGE UNDER REVIEW","SERP SAMPLE","nenhum","n/a","n/a","zero presença própria"
