legacy_domain,old_url,status,title,h1,primary_intent,content_quality,unique_content,similar_current_url,recommended_target_domain,recommended_target_url,action,redirect_confidence,content_to_merge_before_redirect,risk,notes
"fotografoale.com.br","https://fotografoale.com.br","200","Fotógrafo profissional em São Paulo Fotografo Profissional Alexandre Machado","Fotografo Profissional Alexandre Machado","","","","https://www.alefotografo.com.br/foto-profissional","alefotografo.com.br","/foto-profissional","MIGRATE + 301","HIGH","nada (home legado espelha marca pessoal)","LOW","home do legado = mesma entidade do site principal"
"fotografoale.com.br","https://fotografoale.com.br/reels-para-ativa-logistica-na-feira-beauty-fair-2025","200","Reels para Ativa Logistica na Feira Beauty Fair 2025 Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/ensaio-fotografico-na-zattar-advogados","200","Ensaio fotografico na Zattar advogados Fotografo Profissional Alexandre Machado","Ensaio fotografico na Zattar advogados","","","","https://www.alefotografo.com.br/fotografia-para-advogados","alefotografo.com.br","/fotografia-para-advogados","MIGRATE + 301","HIGH","galeria Zattar e case real — avaliar como prova social","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/ensaio-com-socios-da-live-clin","200","Ensaio com sócios da Live Clin Fotografo Profissional Alexandre Machado","Ensaio com sócios da Live Clin","","","","https://www.alefotografo.com.br/fotografia-para-clinicas","alefotografo.com.br","/fotografia-para-clinicas","MIGRATE + 301","HIGH","","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/tjb-logistica","200","TJB Logistica Fotografo Profissional Alexandre Machado","TJB Logistica","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/sq-quimica-na-abrafati-2025","200","SQ Quimica na ABRAFATI 2025 Fotografo Profissional Alexandre Machado","SQ Quimica na ABRAFATI 2025","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/20240522498020","200","Fotografo Profissional Alexandre Machado","","","","","https://www.alefotografo.com.br/portfolio","alefotografo.com.br","/portfolio","MIGRATE + 301","MEDIUM","","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/fotos-corporativas-para-todas-as-profissoes","200","Fotos Corporativas para todas as profissões Fotografo Profissional Alexandre Machado","Fotos Corporativas para todas as profissões","","","","https://www.alefotografo.com.br/fotos-corporativas","alefotografo.com.br","/fotos-corporativas","MIGRATE + 301","HIGH","","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/fotos-para-advocacia","200","Fotos para Advocacia Fotografo Profissional Alexandre Machado","Fotos para Advocacia","","","","https://www.alefotografo.com.br/fotografia-para-advogados","alefotografo.com.br","/fotografia-para-advogados","MIGRATE + 301","HIGH","galeria Zattar e case real — avaliar como prova social","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/faz-negocios-3-da-faz-farma-com-depoimentos","200","Faz Negócios 3 da Faz Farma com depoimentos Fotografo Profissional Alexandre Machado","","","","","https://www.alefotografo.com.br/depoimentos","alefotografo.com.br","/depoimentos","MIGRATE + 301","HIGH","nada","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/tags/fotosdalinhadotempo","200","Fotos da linha do tempo Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/tags/facebook","200","facebook Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/fotografia-corporativa","200","Fotografia Corporativa Fotografo Profissional Alexandre Machado Fotógrafo profissional em São Paulo","Fotografia Corporativa","","","","https://www.alefotografo.com.br/fotografo-corporativo/fotografia-corporativa-em-sao-paulo","alefotografo.com.br","/fotografo-corporativo/fotografia-corporativa-em-sao-paulo","MIGRATE + 301","HIGH","","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/fotografo-de-arquitetura-e-interiores-em-sao-paulo","200","Fotografo de Arquitetura e interiores em São Paulo Fotografo Profissional Alexandre Machado","Fotografo de Arquitetura e interiores em São Paulo","","","","https://www.alefotografo.com.br/fotografo-corporativo/fotografia-de-arquitetura-e-interiores","alefotografo.com.br","/fotografo-corporativo/fotografia-de-arquitetura-e-interiores","MIGRATE + 301","MEDIUM","confirmar existencia da pagina no principal","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/fotografo-para-festa-de-confraternizacao-em-sao-paulo","200","Fotografo para Festa de Confraternização em São Paulo Fotografo Profissional Alexandre Machado","Fotografo para Festa de Confraternização em São Paulo","","","","https://www.alefotografo.com.br/fotografo-corporativo/fotografo-de-eventos-corporativos","alefotografo.com.br","/fotografo-corporativo/fotografo-de-eventos-corporativos","MIGRATE + 301","HIGH","","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/jobs","200","Jobs Fotografo Profissional Alexandre Machado Fotógrafo profissional em São Paulo","","","","","https://www.alefotografo.com.br/portfolio","alefotografo.com.br","/portfolio","MIGRATE + 301","MEDIUM","","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/category/eventoscorporativos","200","Eventos Corporativos Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/renove-mudancas","200","Renove Mudanças Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/sq-quimica-unidade-vinhedo","200","SQ Quimica - Unidade Vinhedo Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/sitivesp-80-anos","200","SITIVESP 80 Anos Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/video-institucional-rocha-queiroz-advogados","200","Vídeo institucional Rocha & Queiroz advogados Fotografo Profissional Alexandre Machado","","","","","https://www.alefotografo.com.br/fotografia-para-advogados","alefotografo.com.br","/fotografia-para-advogados","MIGRATE + 301","HIGH","galeria Zattar e case real — avaliar como prova social","LOW",""
