"query","clicks","impressions","ctr","position","position_band","category","cluster","commercial_intent","current_or_probable_url","url_confidence","opportunity_score","recommended_action","priority"
"rocha e queiroz advogados","2","1598","0.13%","9.6","7-10","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.6918","CTR+TITLE/META","P1"
"ensaio corporativo feminino","2","1541","0.13%","6.82","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.6884","CTR+TITLE/META","P1"
"fotos corporativas","3","1673","0.18%","9.85","7-10","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.6882","CTR+TITLE/META","P1"
"foto empresarial","4","1167","0.34%","4.7","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0.6531","CTR+TITLE/META","P1"
"foto profissional","21","17107","0.12%","3.92","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.649","MONITOR","P1"
"retratos profissionais para negócios","0","792","0%","7.86","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.6447","CTR+TITLE/META","P1"
"fotos profissional","1","749","0.13%","4.7","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.6289","CTR+TITLE/META","P1"
"foto para linkedin","10","1266","0.79%","4.49","4-6","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.6218","CTR+TITLE/META","P1"
"capa linkedin","3","1157","0.26%","10.11","11-15","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.6104","CTR+TITLE/META","P1"
"fotografia profissional","4","1232","0.32%","13.15","11-15","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.5993","CTR+TITLE/META","P1"
"dress code","3","31422","0.01%","5.66","4-6","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.5992","CTR+TITLE/META","P1"
"foto de perfil profissional","0","473","0%","8.3","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.595","CTR+TITLE/META","P1"
"foto perfil linkedin","0","463","0%","4.15","4-6","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.5929","CTR+TITLE/META","P1"
"foto profissional linkedin","4","695","0.58%","4.73","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.5863","CTR+TITLE/META","P1"
"fotografia de eventos","1","497","0.2%","11.32","11-15","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0.5518","CTR+TITLE/META","P1"
"ativa logistica","1","417","0.24%","7.35","7-10","DINHEIRO","logistica","1","/fotografo-corporativo/fotografia-de-logistica","URL_PROVAVEL","0.5518","CTR+TITLE/META","P1"
"ensaio fotográfico corporativo","1","398","0.25%","7.66","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.5462","CTR+TITLE/META","P1"
"fotógrafo profissional","7","905","0.77%","7.9","7-10","DINHEIRO","outros","1","/","URL_PROVAVEL","0.545","CTR+TITLE/META","P1"
"foto profissional para linkedin","3","578","0.52%","6.21","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.5433","CTR+TITLE/META","P1"
"foto perfil profissional","1","382","0.26%","7.44","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.5412","CTR+TITLE/META","P1"
