topic,intent,current_owner,current_url,coverage_quality,competitor_presence_observed,gap,recommended_content_type,recommended_domain,priority
retrato profissional,contratar,alefotografo.com.br,/foto-profissional,BOA (top 3 amostral),alta (jottaphoto evorastudio),reforçar prova/cases,CASE + galeria,alefotografo.com.br,ALTA
LinkedIn / headshot,contratar,alefotografo.com.br,/foto-profissional-para-linkedin,BOA,fotoslinkedin.com.br ranqueia com "foto IA",página dedicada "headshot" não existe (só sinônimo),LANDING headshot,alefotografo.com.br,MÉDIA
eventos corporativos,contratar,alefotografo.com.br,/eventos-corporativos + nicho,BOA (1º amostral),neopix andersonfotografo,cases nomeados de eventos,CASES eventos,alefotografo.com.br,ALTA
logística (foto),contratar,alefotografo.com.br,/fotografo-corporativo/fotografia-de-logistica,REGULAR (dono do conteúdo mas ausente na amostral q9; ales ranqueia no lugar),baixa concorrência direta (spam lovable),case ATIVA + galeria TJB + landing fortalecida,CASE + LANDING,alefotografo.com.br,ALTA
indústria,contratar,alefotografo.com.br,/fotografo-corporativo/fotografia-industrial-em-sp,BOA (2º amostral),miranteimagens norbertomarques,prova nomeada (SQ Química 3 trabalhos),CASES indústria,alefotografo.com.br,MÉDIA
saúde/médicos,contratar,alefotografo.com.br,/fotos-profissionais-medicos + /fotografia-para-clinicas,BOA (2º-5º amostral) mas dividida com ales,vermarketing grupophoto,consolidar: uma página dona por sub-intenção; ales desindexa espelho,CONSOLIDAÇÃO,alefotografo.com.br,ALTA
advocacia,contratar,alefotografo.com.br,/fotografia-para-advogados,REGULAR (ales 1º com página idêntica),estudiotasso,consolidar espelho + case Zattar,CASE + CONSOLIDAÇÃO,alefotografo.com.br,ALTA
vídeos (todos),contratar,videoscorporativos.com.br,/ + landings,BOA estrutura / VISIBILIDADE ZERO na amostral,videoinstitucional.app.br wonderproducoes silvertake,authority + backlinks + indexação Bing,LANDINGS nicho + backlinks, videoscorporativos.com.br,ALTA
feiras e stands foto,contratar,alefotografo.com.br,/fotografo-corporativo/fotografe-feiras-stands,REGULAR (5º amostral; legado 6º),fotografoivanalmeida neopix,migrar legado + prova Beauty Fair/ABRAFATI,CASES,alefotografo.com.br,MÉDIA
equipes / cobertura de escala,contratar,alefotografos.com.br,(futuro),NENHUMA hoje,grupophoto neopix,conteúdo próprio de equipe/escala não existe,HUB + LANDINGS,alefotografos.com.br,ALTA (após reposition)
banco de imagens,contratar,alefotografo.com.br,(inexistente como serviço),NENHUMA,VC blog cobre tema editorialmente,página serviço dedicada,SERVIÇO,alefotografo.com.br,MÉDIA
produtos,contratar,(legado fotodeperfil),/fotografia-de-produtos/ no legado,AUSENTE no principal,—,página serviço fotografia de produtos,SERVIÇO (avaliar demanda),alefotografo.com.br,BAIXA
cases,prova social,alefotografo.com.br,/portfolio (sem hub cases),HUB CASE AUSENTE (VC já tem /cases),—,hub /portfolio/cases com 4 cases planejados,HUB + 4 CASES,alefotografo.com.br,ALTA
vídeo logística/indústria,contratar,videoscorporativos.com.br,(landings a verificar),AUSENTE/parcial,—,landings nicho espelhando cluster P17,LANDINGS, videoscorporativos.com.br,MÉDIA
treinamento/integração/depoimentos,contratar,videoscorporativos.com.br,landings serviço,BOA (a confirmar cobertura 11 tipos),tag12 anchorfilmes,confirmar 1:1 com os 11 tipos do Ale,CONFERÊNCIA, videoscorporativos.com.br,BAIXA
