"cluster","queries","clicks","impressions","dinheiro_queries","avg_position","dominant_intended_urls","top_opportunity_queries"
"outros","364","541","183984","149","5.5","/ | /blog","foto empresarial [1167 impr, pos 4.7] ; dress code [31422 impr, pos 5.66] ; fotógrafo profissional [905 impr, pos 7.9] ; fotografo profissional [713 impr, pos 9.17] ; o que é dress code [7861 impr, pos 6.88]"
"edicao-apps","322","627","132802","47","7","/blog","programa para editar videos [1061 impr, pos 8.38] ; aplicativos para editar videos [1463 impr, pos 4.89] ; editar videos [726 impr, pos 9] ; aplicativos para editar vídeos [624 impr, pos 4.99] ; aplicativos de edição de video [886 impr, pos 5.2]"
"foto-profissional","126","282","94675","108","4.3","/foto-profissional","ensaio corporativo feminino [1541 impr, pos 6.82] ; foto profissional [17107 impr, pos 3.92] ; retratos profissionais para negócios [792 impr, pos 7.86] ; fotos profissional [749 impr, pos 4.7] ; fotografia profissional [1232 impr, pos 13.15]"
"gastronomia","16","40","14210","14","3","/fotografo-corporativo/fotografia-gastronomica","fotografia de comida [377 impr, pos 7.57] ; fotografia gastronomica [133 impr, pos 9.76] ; foto de comida [8763 impr, pos 1.2] ; fotos de comida [1867 impr, pos 1.1] ; fotografo gastronomico [10 impr, pos 12.4]"
"fotografo-corporativo","19","69","10277","19","6.9","/fotografo-corporativo","fotos corporativas [1673 impr, pos 9.85] ; foto corporativa [3104 impr, pos 3.4] ; poses para fotos corporativas femininas [154 impr, pos 4.73] ; fotos corporativas masculinas [124 impr, pos 8.4] ; fotos corporativas femininas [989 impr, pos 2.1]"
"video","33","48","7248","26","8.7","/videos","foto institucional [682 impr, pos 3.29] ; melhor editor de video para celular [1141 impr, pos 9.15] ; aplicativos de vídeo [643 impr, pos 7.82] ; melhores editores de video para celular [524 impr, pos 8.72] ; melhor editor de vídeo para celular [629 impr, pos 9.7]"
"fotografo-generico","14","63","6997","14","11.4","/fotografo-corporativo","fotógrafo [1566 impr, pos 10.6] ; fotografo [4146 impr, pos 10.2] ; fotografo são paulo [191 impr, pos 9.31] ; fotógrafo são paulo [161 impr, pos 11.9] ; fotografos [122 impr, pos 8.75]"
"linkedin","23","43","6417","23","4.6","/foto-profissional-para-linkedin","foto para linkedin [1266 impr, pos 4.49] ; capa linkedin [1157 impr, pos 10.11] ; foto perfil linkedin [463 impr, pos 4.15] ; foto linkedin profissional [193 impr, pos 4.55] ; foto linkedin [1092 impr, pos 3.27]"
"advocacia","14","21","3651","14","5.6","/fotografia-para-advogados","rocha e queiroz advogados [1598 impr, pos 9.6] ; fotos advogada profissional [262 impr, pos 7.18] ; foto de advocacia [376 impr, pos 3.28] ; rocha queiroz advogados [93 impr, pos 9.52] ; ensaio fotografico advogada [74 impr, pos 8.11]"
"retrato-executivo","4","7","1885","4","15.6","/fotografia-executiva","fotografia de retrato corporativo [965 impr, pos 22.53] ; retrato corporativo sp [22 impr, pos 5.32] ; retrato corporativo [890 impr, pos 25.4] ; fotografo retrato corporativo [8 impr, pos 9.25]"
"direitos-uso","3","5","1814","0","5.5","/faq","direitos autorais de imagem [1746 impr, pos 7.63] ; lei de direitos autorais de imagem [33 impr, pos 7.45] ; direitos autorais fotografia [35 impr, pos 1.43]"
"lugares-fotografar","21","210","1689","12","5.2","/blog","lugares para fazer ensaio fotográfico de debutante em sp [61 impr, pos 4.82] ; lugares para ensaio fotográfico em sp [82 impr, pos 2.34] ; lugares para foto [19 impr, pos 2.79] ; lugares para fazer sessão de fotos [14 impr, pos 4.79] ; lugares para sessão de fotos em sp [217 impr, pos 11.17]"
"logistica","8","8","1337","7","6.6","/fotografo-corporativo/fotografia-de-logistica","ativa logistica [417 impr, pos 7.35] ; ativa logística barueri [269 impr, pos 10.28] ; empresa ativa logística [69 impr, pos 8.81] ; poses corporativas [131 impr, pos 1.38] ; ativa logistica sao paulo [4 impr, pos 13.5]"
"eventos","16","30","1309","16","9.4","/eventos-corporativos","fotografia de eventos [497 impr, pos 11.32] ; fotos impressas na hora eventos [129 impr, pos 5.45] ; look para evento corporativo masculino [113 impr, pos 2.3] ; roupa para evento corporativo masculino [73 impr, pos 2.45] ; fotografo evento corporativo [29 impr, pos 3.48]"
"saude","11","19","1194","11","3","/fotos-profissionais-medicos","fotos dentista profissional [141 impr, pos 4.28] ; ensaio fotografico dentista [60 impr, pos 3.5] ; fotos de dentista no consultório [82 impr, pos 8.41] ; foto medico [407 impr, pos 1.44] ; fotos de médicos [150 impr, pos 1.49]"
"totem-foto","3","3","629","3","8","/fotografo-corporativo/totem-fotografico","totem fotografico [149 impr, pos 8.25] ; foto impressa [399 impr, pos 9.77] ; foto na hora [81 impr, pos 5.88]"
"industria","1","3","99","1","18.6","/fotografo-corporativo/fotografia-industrial-em-sp","fotografia industrial [99 impr, pos 18.64]"
"feiras-stands","1","1","58","1","7.6","/fotografo-corporativo/fotografo-feiras-stands","qual melhor horario para postar na quarta feira [58 impr, pos 7.64]"
"arquitetura","1","1","45","1","23.3","/fotografo-corporativo/fotografia-de-arquitetura-e-interiores","fotografo de arquitetura [45 impr, pos 23.27]"
