"post_url","clicks","impressions","topic_cluster","suggested_money_page","n_links_suggested","anchor_type"
"https://www.alefotografo.com.br/blog/10-lugares-em-sao-paulo-para-tirar-boas-fotos","2014","52770","outros","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/os-6-melhores-aplicativos-para-editar-videos-pelo-celular","1561","405856","edicao-apps","/videos","3","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/fotografo-5-poses-para-retrato-corporativo","807","162471","retrato-executivo","/fotografia-executiva","3","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/seu-icloud-esta-cheio-5-dicas-para-voce-ganhar-mais-armazenamento-para-suas-fotos-e-videos","300","144224","edicao-apps","/videos","3","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/11-ideias-para-o-plano-de-fundo-de-seu-retrato-profissional","302","72834","foto-profissional","/foto-profissional","3","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/psicologia-das-cores-e-fotografia-saiba-como-elas-interagem","298","72943","outros","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/linguagem-corporal-na-fotografia-de-retratos","322","34960","outros","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/dress-code-corporativo-o-que-vestir-numa-sessao-de-fotos-profissionais","255","30110","foto-profissional","/foto-profissional","3","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/7-erros-que-voce-deve-evitar-na-foto-de-perfil-no-linkedin","191","80419","foto-profissional","/foto-profissional","3","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/direitos-autorais-na-fotografia-e-nos-retratos-como-funciona-1","237","32154","direitos-uso","/faq","3","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/decifrando-o-dress-code-masculino","144","97568","outros","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/7-dicas-para-voce-nunca-mais-errar-na-aparencia-ao-tirar-fotos-profissionais","197","34111","foto-profissional","/foto-profissional","3","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/7-lugares-incriveis-para-tirar-fotos-profissionais-em-sao-paulo","204","15862","foto-profissional","/foto-profissional","3","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/jpeg-ou-png-vantagens-e-desvantagens-dos-dois-formatos-de-imagens","113","87917","outros","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/saiba-quais-sao-os-melhores-de-postagem-nas-redes-sociais","57","88617","outros","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/food-styling-7-dicas-de-fotos-de-comida-para-voce-turbinar-suas-vendas","105","29642","gastronomia","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/adobe-lightroom-como-tratar-fotos-de-maneira-profissional","62","11132","edicao-apps","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/a-sua-foto-de-perfil-pode-representar-mais-do-que-voce-imagina","47","21108","foto-profissional","/foto-profissional","3","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/fotografia-em-preto-e-branco-como-tirar-fotos-lindas","44","17853","outros","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/posicionamento-e-reposicionamento-de-imagem-voce-sabe-qual-a-diferenca","29","9408","outros","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/como-explorar-a-foto-de-capa-do-seu-perfil-no-linkedin","28","8344","linkedin","/foto-profissional-para-linkedin","3","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/posicionamento-de-imagem-profissional-o-que-e-e-como-aplicar","25","3295","outros","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/fotos-de-comida-tudo-o-que-voce-precisa-saber-para-tornar-pratos-visivelmente-atraentes","17","2933","gastronomia","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/youtube-live-como-fazer-uma-transmissao-ao-vivo-e-divulgar-sua-empresa","16","3632","outros","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/engenharia-de-cardapio-7-tecnicas-incriveis-para-aumentar-suas-vendas","18","1611","gastronomia","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/banco-de-imagens-a-importancia-de-desenvolver-um-para-sua-empresa","11","5961","banco-de-imagens","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/blazer-inspiracao-e-tendencia","12","4477","outros","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/10-dicas-para-ter-um-ambiente-agradavel-para-o-seu-evento-fotografia-de-evento","14","1396","eventos","/eventos-corporativos","1","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/adobe-photoshop-deixe-seus-projetos-mais-ageis-usando-os-principais-atalhos-do-teclado","10","3005","edicao-apps","","0","descritivo natural (sem âncora exata)"
"https://www.alefotografo.com.br/blog/clinica-par","11","1166","saude","/fotos-profissionais-medicos","1","descritivo natural (sem âncora exata)"
