"prompt_id","prompt","category","query_type","branded_status","local_intent","target_cluster","preferred_owned_domain","preferred_page","notes"
"01","fotógrafo corporativo","corporate","SHORT COMMERCIAL","NON-BRANDED","NO","corporate","alefotografo.com.br","/fotografo-corporativo",""
"02","fotógrafo corporativo em São Paulo","corporate","LOCAL COMMERCIAL","NON-BRANDED","YES","corporate","alefotografo.com.br","/fotografo-corporativo",""
"03","fotógrafo profissional","professional_photo","SHORT COMMERCIAL","NON-BRANDED","NO","professional_photo","alefotografo.com.br","TARGET PAGE UNDER REVIEW (GSC: /foto-profissional com só 59 impr; intenção capturada por home/blog)",""
"04","fotógrafo profissional em São Paulo","professional_photo","LOCAL COMMERCIAL","NON-BRANDED","YES","professional_photo","alefotografo.com.br","TARGET PAGE UNDER REVIEW",""
"05","foto profissional","professional_photo","SHORT COMMERCIAL","NON-BRANDED","NO","professional_photo","alefotografo.com.br","TARGET PAGE UNDER REVIEW (mesma ressalva do GSC)",""
"06","fotos profissionais em São Paulo","professional_photo","LOCAL COMMERCIAL","NON-BRANDED","YES","professional_photo","alefotografo.com.br","TARGET PAGE UNDER REVIEW",""
"07","fotografia corporativa","corporate","SHORT COMMERCIAL","NON-BRANDED","NO","corporate","alefotografo.com.br","/fotografo-corporativo/fotografia-corporativa-em-sao-paulo",""
"08","fotos corporativas","corporate","SHORT COMMERCIAL","NON-BRANDED","NO","corporate","alefotografo.com.br","/fotos-corporativas",""
"09","fotógrafo empresarial em São Paulo","corporate","LOCAL COMMERCIAL","NON-BRANDED","YES","corporate","alefotografo.com.br","/fotografo-empresarial",""
"10","fotógrafo para empresas em São Paulo","corporate","LOCAL COMMERCIAL","NON-BRANDED","YES","corporate","alefotografo.com.br","/fotografo-empresarial",""
"11","fotógrafo para equipes de empresas","corporate","SOLUTION","NON-BRANDED","NO","corporate","alefotografo.com.br","/fotografo-corporativo",""
"12","fotógrafo para banco de imagens empresarial","corporate","SOLUTION","NON-BRANDED","NO","banco_imagens","alefotografo.com.br","/fotografo-corporativo/banco-de-imagens-para-empresas",""
"13","retrato profissional","portrait","SHORT COMMERCIAL","NON-BRANDED","NO","portrait","alefotografo.com.br","/foto-profissional",""
"14","retrato corporativo","portrait","SHORT COMMERCIAL","NON-BRANDED","NO","portrait","alefotografo.com.br","TARGET PAGE UNDER REVIEW (/fotografia-executiva vs /fotografo-corporativo/retrato-corporativo)",""
"15","retrato executivo","portrait","SHORT COMMERCIAL","NON-BRANDED","NO","portrait","alefotografo.com.br","/fotografia-executiva",""
"16","foto de perfil profissional","portrait","SHORT COMMERCIAL","NON-BRANDED","NO","portrait","alefotografo.com.br","/foto-profissional",""
"17","foto para LinkedIn","linkedin","SHORT COMMERCIAL","NON-BRANDED","NO","linkedin","alefotografo.com.br","/foto-profissional-para-linkedin",""
"18","fotógrafo para LinkedIn em São Paulo","linkedin","LOCAL COMMERCIAL","NON-BRANDED","YES","linkedin","alefotografo.com.br","/foto-profissional-para-linkedin",""
"19","ensaio corporativo feminino","portrait","NICHE","NON-BRANDED","NO","portrait","alefotografo.com.br","TARGET PAGE UNDER REVIEW",""
"20","ensaio corporativo masculino","portrait","NICHE","NON-BRANDED","NO","portrait","alefotografo.com.br","TARGET PAGE UNDER REVIEW",""
"21","fotógrafo de eventos corporativos","events","SHORT COMMERCIAL","NON-BRANDED","NO","events","alefotografo.com.br","/fotografo-corporativo/fotografo-de-eventos-corporativos",""
"22","fotógrafo para eventos corporativos em São Paulo","events","LOCAL COMMERCIAL","NON-BRANDED","YES","events","alefotografo.com.br","/fotografo-corporativo/fotografo-de-eventos-corporativos",""
"23","fotografia de eventos corporativos","events","SHORT COMMERCIAL","NON-BRANDED","NO","events","alefotografo.com.br","/eventos-corporativos",""
"24","fotógrafo para convenções empresariais","events","NICHE","NON-BRANDED","NO","events","alefotografo.com.br","/eventos-corporativos",""
"25","fotógrafo para congressos corporativos","events","NICHE","NON-BRANDED","NO","events","alefotografo.com.br","/eventos-corporativos",""
"26","fotógrafo para feiras e stands","events","NICHE","NON-BRANDED","NO","events","alefotografo.com.br","/fotografo-corporativo/fotografo-feiras-stands",""
"27","foto lembrança para eventos","photo_activation","SOLUTION","NON-BRANDED","NO","photo_activation","alefotografo.com.br","/fotografo-corporativo/foto-impressa-na-hora",""
"28","foto lembrança impressa na hora","photo_activation","SOLUTION","NON-BRANDED","NO","photo_activation","alefotografo.com.br","/fotografo-corporativo/foto-impressa-na-hora",""
"29","totem fotográfico para eventos","photo_activation","SOLUTION","NON-BRANDED","NO","photo_activation","alefotografo.com.br","/fotografo-corporativo/totem-fotografico-totem-mania",""
"30","vídeos corporativos","video","SHORT COMMERCIAL","NON-BRANDED","NO","video","videoscorporativos.com.br","https://videoscorporativos.com.br/","OWNED SPECIALIST — vídeo puro é ownership do VC; alefotografo.com.br/videos é alternativa integrada"
"31","empresa de vídeos corporativos em São Paulo","video","LOCAL COMMERCIAL","NON-BRANDED","YES","video","videoscorporativos.com.br","https://videoscorporativos.com.br/",""
"32","vídeos institucionais","video","SHORT COMMERCIAL","NON-BRANDED","NO","video","videoscorporativos.com.br","https://videoscorporativos.com.br/video-institucional-sao-paulo",""
"33","vídeo institucional para empresas","video","SOLUTION","NON-BRANDED","NO","video","videoscorporativos.com.br","https://videoscorporativos.com.br/video-institucional-sao-paulo",""
"34","vídeos para eventos","video","SHORT COMMERCIAL","NON-BRANDED","NO","video","videoscorporativos.com.br","https://videoscorporativos.com.br/filmagem-evento-corporativo-sao-paulo",""
"35","vídeo de eventos corporativos","video","SHORT COMMERCIAL","NON-BRANDED","NO","video","videoscorporativos.com.br","https://videoscorporativos.com.br/filmagem-evento-corporativo-sao-paulo",""
"36","produtora de vídeo para eventos corporativos","video","SOLUTION","NON-BRANDED","NO","video","videoscorporativos.com.br","https://videoscorporativos.com.br/filmagem-evento-corporativo-sao-paulo",""
"37","gravação de depoimentos corporativos","video","NICHE","NON-BRANDED","NO","video","videoscorporativos.com.br","https://videoscorporativos.com.br/depoimentos-em-video",""
"38","vídeo para treinamento de empresas","video","NICHE","NON-BRANDED","NO","video","videoscorporativos.com.br","https://videoscorporativos.com.br/",""
"39","fotógrafo especializado em logística","logistics","NICHE","NON-BRANDED","NO","logistics","alefotografo.com.br","/fotografo-corporativo/fotografia-de-logistica",""
"40","fotógrafo para transportadoras","logistics","NICHE","NON-BRANDED","NO","logistics","alefotografo.com.br","/fotografo-corporativo/fotografia-de-logistica",""
"41","fotógrafo para centros de distribuição","logistics","NICHE","NON-BRANDED","NO","logistics","alefotografo.com.br","/fotografo-corporativo/fotografia-de-logistica",""
"42","fotógrafo industrial em São Paulo","industry","LOCAL COMMERCIAL","NON-BRANDED","YES","industry","alefotografo.com.br","/fotografo-corporativo/fotografia-industrial-em-sp",""
"43","fotógrafo para escritórios de advocacia","legal","NICHE","NON-BRANDED","NO","legal","alefotografo.com.br","/fotografia-para-advogados",""
"44","fotógrafo para médicos e clínicas","health","NICHE","NON-BRANDED","NO","health","alefotografo.com.br","/fotos-profissionais-medicos",""
"45","fotógrafo para dentistas em São Paulo","health","LOCAL+NICHE","NON-BRANDED","YES","health","alefotografo.com.br","/fotografo-corporativo/ensaio-fotografico-para-dentistas",""
"46","fotos aéreas com drone","drone","SOLUTION","NON-BRANDED","NO","drone","alefotografo.com.br","/fotografo-corporativo/fotos-aereas",""
"47","vídeos aéreos com drone","drone","SOLUTION","NON-BRANDED","NO","drone","alefotografo.com.br","/fotografo-corporativo/fotos-aereas",""
"48","fotografia aérea corporativa com drone","drone","NICHE","NON-BRANDED","NO","drone","alefotografo.com.br","/fotografo-corporativo/fotos-aereas",""
"49","filmagem aérea corporativa com drone","drone","NICHE","NON-BRANDED","NO","drone","alefotografo.com.br","/fotografo-corporativo/fotos-aereas",""
"50","acompanhamento de obra com drone","drone","SOLUTION","NON-BRANDED","NO","drone","alefotografo.com.br","/fotografo-corporativo/fotos-aereas","página fina (465 palavras) — citability limitada"
"51","acompanhamento de obra com foto e vídeo feito com drone","drone","SOLUTION","NON-BRANDED","NO","drone","alefotografo.com.br","/fotografo-corporativo/fotos-aereas",""
"52","foto e vídeo de obra com drone em São Paulo","drone","LOCAL+SOLUTION","NON-BRANDED","YES","drone","alefotografo.com.br","/fotografo-corporativo/fotos-aereas",""
"53","Totem Mania","photo_activation","SEMI-BRANDED","SEMI-BRANDED","NO","photo_activation","alefotografo.com.br","/fotografo-corporativo/totem-fotografico-totem-mania","REPORTAR SEPARADO — não entra no non-branded share"
"54","Totem Mania fotografia para eventos","photo_activation","SEMI-BRANDED","SEMI-BRANDED","NO","photo_activation","alefotografo.com.br","/fotografo-corporativo/totem-fotografico-totem-mania","REPORTAR SEPARADO"
"55","Quem é Alê Fotógrafo?","branded","BRANDED","BRANDED","YES","entity","alefotografo.com.br","/quem-e-o-ale","ENTITY ACCURACY — fora do Mention Share"
"56","Quem é Alexandre Machado fotógrafo em São Paulo?","branded","BRANDED","BRANDED","YES","entity","alefotografo.com.br","/quem-e-o-ale","ENTITY ACCURACY"
"57","Quais serviços o Alê Fotógrafo oferece?","branded","BRANDED","BRANDED","YES","entity","alefotografo.com.br","/servicos","ENTITY ACCURACY"
