timestamp,engine,engine_mode,prompt_id,prompt,response_available,ale_mentioned,alexandre_mentioned,main_domain_mentioned,main_domain_cited,owned_domain_cited,owned_domain,citation_url,mention_order_snapshot,competitors,competitor_domains,external_sources,entity_accuracy,wrong_facts,notes
2026-09-21,ChatGPT Search,NOT TESTED — AUTH REQUIRED,01,fotógrafo corporativo,NO,,,,,,,,,,,,,,COLETA MANUAL PENDENTE — ver 17-manual-test-pack.md
2026-09-21,ChatGPT Search,NOT TESTED — AUTH REQUIRED,02,fotógrafo corporativo em São Paulo,NO,,,,,,,,,,,,,,COLETA MANUAL PENDENTE — ver 17-manual-test-pack.md
2026-09-21,ChatGPT Search,NOT TESTED — AUTH REQUIRED,03,fotógrafo profissional,NO,,,,,,,,,,,,,,COLETA MANUAL PENDENTE — ver 17-manual-test-pack.md
2026-09-21,ChatGPT Search,NOT TESTED — AUTH REQUIRED,04,fotógrafo profissional em São Paulo,NO,,,,,,,,,,,,,,COLETA MANUAL PENDENTE — ver 17-manual-test-pack.md
2026-09-21,ChatGPT Search,NOT TESTED — AUTH REQUIRED,05,foto profissional,NO,,,,,,,,,,,,,,COLETA MANUAL PENDENTE — ver 17-manual-test-pack.md
2026-09-21,ChatGPT Search,NOT TESTED — AUTH REQUIRED,06,fotos profissionais em São Paulo,NO,,,,,,,,,,,,,,COLETA MANUAL PENDENTE — ver 17-manual-test-pack.md
2026-09-21,ChatGPT Search,NOT TESTED — AUTH REQUIRED,07,fotografia corporativa,NO,,,,,,,,,,,,,,COLETA MANUAL PENDENTE — ver 17-manual-test-pack.md
2026-09-21,ChatGPT Search,NOT TESTED — AUTH REQUIRED,08,fotos corporativas,NO,,,,,,,,,,,,,,COLETA MANUAL PENDENTE — ver 17-manual-test-pack.md
2026-09-21,ChatGPT Search,NOT TESTED — AUTH REQUIRED,09,fotógrafo empresarial em São Paulo,NO,,,,,,,,,,,,,,COLETA MANUAL PENDENTE — ver 17-manual-test-pack.md
2026-09-21,ChatGPT Search,NOT TESTED — AUTH REQUIRED,10,fotógrafo para empresas em São Paulo,NO,,,,,,,,,,,,,,COLETA MANUAL PENDENTE — ver 17-manual-test-pack.md
