post,topic,clicks,impressions,best_money_page,secondary_money_page,anchor_suggestion,context,max_new_links,notes
/blog/10-lugares-em-sao-paulo-para-tirar-boas-fotos,lugares para fotos em SP,1931,49785,/foto-profissional,/fotografia-executiva,"ensaio profissional em São Paulo","seção final: onde fotografar bem na cidade",1,"post #1 do site; link de saída contextual no fechamento"
/blog/os-6-melhores-aplicativos-para-editar-videos-pelo-celular,apps de edição de vídeo,1514,386730,/videos,/video-institucional,"produção profissional de vídeo para empresas","parágrafo final: quando o projeto pede produção completa",1,"intenção informacional; âncora editorial sem venda forçada"
/blog/fotografo-5-poses-para-retrato-corporativo,poses de retrato,730,162480,/fotografo-corporativo/retrato-corporativo,/foto-profissional,"retrato corporativo com direção de pose","após a lista de poses",2,"já ranqueia pos. 3-6 em retrato corporativo; link forte faz sentido"
/blog/seu-icloud-esta-cheio-5-dicas-para-voce-ganhar-mais-armazenamento-para-suas-fotos-e-videos,armazenamento de fotos,300,140287,/foto-profissional,—,"fotos tratadas e entregues em até 1 dia útil","fechamento: quem fotografa profissionalmente não gerencia arquivo",1,"satélite da intenção; 1 link suave"
/blog/psicologia-das-cores-e-fotografia-saiba-como-elas-interagem,psicologia das cores,279,68407,/fotografo-corporativo,/eventos-corporativos,"direção de fotografia corporativa","seção sobre uso da cor em retratos",1,"editorial; manter tom editorial"
/blog/dress-code-corporativo-o-que-vestir-numa-sessao-de-fotos-profissionais,dress code,261,28982,/foto-profissional,/fotografia-executiva,"o que vestir no ensaio profissional","intro ou fechamento: preparação para o ensaio",2,"query transacional próxima; âncora natural"
/blog/linguagem-corporal-na-fotografia-de-retratos,linguagem corporal,250,28830,/fotografo-corporativo/retrato-corporativo,—,"direção de pose no retrato corporativo","fechamento",1,"irmão do post de poses; 1 link"
/blog/11-ideias-para-o-plano-de-fundo-de-seu-retrato-profissional,fundos de retrato,247,67740,/foto-profissional,/quem-e-o-ale,"estúdio na Alameda Santos ou locação","seção de fundos em estúdio",2,"menção real do estúdio; citable fact"
/blog/direitos-autorais-na-fotografia-e-nos-retratos-como-funciona-1,direitos autorais,219,28396,/foto-profissional,—,"uso comercial liberado nos ensaios","parágrafo sobre cessão de uso",1,"conecta com diferencial real do serviço"
/blog/7-lugares-incriveis-para-tirar-fotos-profissionais-em-sao-paulo,lugares para ensaio,212,17213,/foto-profissional,/fotografia-executiva,"ensaio profissional em São Paulo","lista + fechamento",2,"duplicata temática do #1; variar âncora"
/blog/7-dicas-para-voce-nunca-mais-errar-na-aparencia-ao-tirar-fotos-profissionais,aparência em fotos,191,36197,/foto-profissional,/foto-profissional-para-linkedin,"preparação para a foto profissional","fechamento",1,"cluster foto profissional"
/blog/7-erros-que-voce-deve-evitar-na-foto-de-perfil-no-linkedin,erros de foto LinkedIn,150,72052,/foto-profissional-para-linkedin,/foto-profissional,"foto profissional para LinkedIn","após cada erro ou no fechamento",2,"o post do cluster LinkedIn mais forte; prioridade de link"
/blog/decifrando-o-dress-code-masculino,dress code masculino,136,93104,/fotografia-executiva,/foto-profissional,"retrato executivo","seção de contexto corporativo",1,"satélite de dress code"
/blog/jpeg-ou-png-vantagens-e-desvantagens-dos-dois-formatos-de-imagens,formatos de imagem,104,86639,/foto-profissional,—,"entrega em alta resolução e versões web","parágrafo técnico",1,"editorial técnico"
/blog/food-styling-7-dicas-de-fotos-de-comida-para-voce-turbinar-suas-vendas,fotos de comida,97,27042,/fotografo-corporativo/gastronomia,/fotografo-corporativo,"fotografia gastronômica para empresas","fechamento: quando contratar",1,"galeria gastronomia existe no portfólio"
/blog/adobe-lightroom-como-tratar-fotos-de-maneira-profissional,Lightroom,62,10840,/foto-profissional,—,"tratamento profissional de imagem","fechamento",1,"editorial de software"
/blog/saiba-quais-sao-os-melhores-de-postagem-nas-redes-sociais,melhores horários postagem,59,94293,/fotografo-corporativo/ensaio-fotografico-para-redes-sociais,/videos,"ensaio para redes sociais","seção de conteúdo visual",1,"página de redes sociais existe (3.623 impr)"
/blog/fotografia-em-preto-e-branco-como-tirar-fotos-lindas,p&b,42,15566,/fotografo-corporativo/retrato-corporativo,—,"retrato em preto e branco","seção estética",1,"opcional; editorial"
/blog/a-sua-foto-de-perfil-pode-representar-mais-do-que-voce-imagina,foto de perfil,35,13170,/foto-profissional-para-linkedin,/foto-profissional,"foto de perfil profissional","fechamento",2,"cluster LinkedIn/perfil"
/blog/posicionamento-de-imagem-profissional-o-que-e-e-como-aplicar,posicionamento de imagem,27,3115,/fotografia-executiva,/quem-e-o-ale,"construção de imagem profissional","fechamento",1,"relacionado a packages legados /loja (atenção)"
/blog/como-explorar-a-foto-de-capa-do-seu-perfil-no-linkedin,capa LinkedIn,24,8294,/foto-profissional-para-linkedin,—,"foto e capa para LinkedIn","seção da capa",1,"sub-intenção capa (1.157 impr no GSC)"
/blog/posicionamento-e-reposicionamento-de-imagem-voce-sabe-qual-a-diferenca,posicionamento de imagem 2,19,7944,/fotografia-executiva,—,"ensaio executivo","fechamento",1,"duplicata temática; variar âncora"
/blog/engenharia-de-cardapio-7-tecnicas-incriveis-para-aumentar-suas-vendas,cardápio,18,1611,/fotografo-corporativo/gastronomia,—,"fotografia de cardápios","fechamento",1,"gastronomia B2B"
/blog/10-dicas-para-ter-um-ambiente-agradavel-para-o-seu-evento-fotografia-de-evento,ambiente de evento,12,1280,/eventos-corporativos,/fotografo-corporativo/fotografo-de-eventos-corporativos,"fotografia de eventos corporativos","fechamento",2,"cluster eventos"
/blog/youtube-live-como-fazer-uma-transmissao-ao-vivo-e-divulgar-sua-empresa,YouTube Live,11,3150,/video-de-eventos-corporativos,/videos,"cobertura audiovisual de eventos","seção transmissão",1,"vídeo eventos"
/blog/fotos-de-comida-tudo-o-que-voce-precisa-saber-para-tornar-pratos-visivelmente-atraentes,fotos de comida 2,10,2509,/fotografo-corporativo/gastronomia,—,"fotografia gastronômica","fechamento",1,"duplicata de food styling"
/blog/comportamento-do-consumidor-como-a-fotografia-pode-ser-usada-para-influenciar-beneficamente,consumidor e fotografia,10,888,/fotografo-corporativo,—,"fotografia corporativa para empresas","fechamento",1,"editorial"
/blog/blazer-inspiracao-e-tendencia,blazer,9,4077,/fotografia-executiva,/foto-profissional,"ensaio executivo","seção de vestimenta",1,"satélite dress code"
/blog/adobe-photoshop-deixe-seus-projetos-mais-ageis-usando-os-principais-atalhos-do-teclado,Photoshop,8,3253,/foto-profissional,—,"tratamento profissional","fechamento",0,"link opcional; editorial puro"
/blog/networking-como-criar-uma-boa-rede-de-contatos-profissionais-para-voce-e-sua-empresa,networking,7,5869,/fotografia-executiva,/foto-profissional-para-linkedin,"retrato para networking e LinkedIn","seção de imagem profissional",1,"conexão natural"
/blog/clinica-par,clínica (satélite),7,1137,/fotografia-para-clinicas,/fotos-profissionais-medicos,"fotografia para clínicas","contexto clínico",2,"post satélite de saúde"
/blog/banco-de-imagens-a-importancia-de-desenvolver-um-para-sua-empresa,banco de imagens,6,5116,/fotografo-corporativo/banco-de-imagens-para-empresas,/fotografo-corporativo,"banco de imagens para empresas","corpo do post",2,"página de banco de imagens existe (1.956 impr)"
/blog/linkedin-e-emprego-7-dicas-de-como-usar-essa-rede-social-para-conseguir-um,LinkedIn emprego,6,2262,/foto-profissional-para-linkedin,—,"foto para LinkedIn","seção de perfil",1,"cluster LinkedIn"
/blog/fotografo-ensina-que-foto-profissional-aparece-14-vezes-mais-do-que-uma-foto-amadora-no-linkedin,foto profissional LinkedIn,5,3271,/foto-profissional-para-linkedin,/foto-profissional,"foto profissional para LinkedIn","corpo",2,"query 'foto profissional linkedin' 695 impr pos 4,73"
/blog/fotografo-dica-como-a-luz-pode-transformar-suas-fotos,luz,5,2831,/foto-profissional,/fotografo-corporativo/retrato-corporativo,"iluminação de estúdio","seção técnica",1,"editorial"
/blog/a-importancia-do-retrato-corporativo-para-influenciadores-digitais-1,retrato influenciadores,5,2134,/fotografo-corporativo/retrato-corporativo,/fotografia-executiva,"retrato corporativo","corpo",1,""
/blog/fotografo-de-retrato-corporativo,retrato corporativo,5,476,/fotografo-corporativo/retrato-corporativo,—,"ensaio de retrato corporativo","corpo",1,"pode ser o post que ranqueia para a query (verificar query×page)"
/blog/como-criar-conteudo-envolvente-para-suas-redes-sociais-a-partir-do-seu-proprio-banco-de-imagens,conteúdo de redes,5,430,/fotografo-corporativo/ensaio-fotografico-para-redes-sociais,/fotografo-corporativo/banco-de-imagens-para-empresas,"ensaio para redes sociais","corpo",2,""
/blog/quanto-custa-sessao-fotos-corporativas-sao-paulo,quanto custa,5,251,/fotografo-corporativo/fotografia-corporativa-em-sao-paulo,/fotografo-corporativo,"orçamento de fotos corporativas","corpo",2,"já ranqueia pos. 3 em 'fotos corporativas'; levar à money page"
/blog/dicas-fotografo-saia-do-fundo-branco-agora-1,fundo branco,4,1451,/foto-profissional,—,"fundos de estúdio","corpo",1,""
/blog/fotografo-da-dica-de-como-a-fotografia-de-comidas-e-bebidas-pode-te-ajudar,comida e bebida,4,1380,/fotografo-corporativo/gastronomia,—,"fotografia de bebidas","corpo",1,""
/blog/7-dicas-para-maximizar-seu-perfil-no-linkedin,maximizar LinkedIn,4,962,/foto-profissional-para-linkedin,—,"foto de perfil para LinkedIn","seção perfil",1,"cluster LinkedIn"
/blog/5-fatores-que-influenciam-o-seu-perfil-no-linkedin-fotografo-alexandre-machado,fatores LinkedIn,3,3428,/foto-profissional-para-linkedin,—,"retrato para LinkedIn","corpo",1,""
/blog/foto-para-linkedin-o-que-realmente-funciona,LinkedIn o que funciona,3,1161,/foto-profissional-para-linkedin,—,"o que funciona na foto para LinkedIn","corpo",2,""
