cluster,prompt_id_sample,engine_sample,competitor,domain,citation_url_sample,ale_present,ale_cited,source_type,observed_advantage,evidence_level
corporate,Q2 fotógrafo corporativo são paulo,SERP SAMPLE 21/09,Jotta Photo Pro,jottaphotopro.com.br,(portfolio por nicho: lifestyle/2X/advogado),SIM,SIM,site próprio (múltiplas páginas de portfólio por segmento),3 URLs na mesma busca; estratégia de páginas de nicho replicável em qualidade,MEDIUM
corporate,Q8 retrato corporativo,SERP SAMPLE 21/09,Risnic Fotografia,risnicfotografia.com.br,/retrato-corporativo,SIM,NÃO (ausente na query),página de serviço dedicada,pos. 1 em 'retrato corporativo' e 'fotografia corporativa'; URL exata-keyword,MEDIUM
portrait,Q7/Q8,SERP SAMPLE 21/09,EvoRa Studio,evorastudio.com.br,(serviço),SIM,NÃO,site próprio,presente em 3 consultas do grupo corporate/retrato,MEDIUM
linkedin,Q3/Q10 foto profissional/para linkedin,SERP SAMPLE 21/09,fotoslinkedin.com.br,(blog),,NAO,NAO,blog de prompts IA,domina intenção informacional com conteúdo de IA; não é concorrente de serviço — é de atenção,MEDIUM
linkedin,Q10,SERP SAMPLE 21/09,(apps de IA),insmind.com; kapwing.com; picfixer.ai; yce.perfectcorp.com,(apps),NAO,NAO,ferramenta de IA,desintermediação: geradores de headshot IA ocupam o topo das genéricas,MEDIUM
events,Q1/Q8 fotografia de eventos corporativos,SERP SAMPLE 21/09,Thiago Tasso / Neopix,thiagotasso.com.br; neopix.com.br,(homepage/serviço),SIM,SIM,site próprio,homepages de especialistas locais ranqueiam bem; Neopix em eventos e vídeo (2 clusters),MEDIUM
events,Q2 fotógrafo corporativo são paulo,SERP SAMPLE 21/09,Instagram (lucascardosoph),instagram.com,(perfil),SIM,NÃO,social,Instagram pos. 1 — autoridade social superando sites,MEDIUM
logistics,Q9 fotógrafo especializado em logística,SERP SAMPLE 21/09,Ivan Almeida,fotografoivanalmeida.com.br,/fotografia-logistica,SIM,SIM,página de nicho dedicada,único concorrente com página de nicho logística; pos. 1,MEDIUM
logistics,Q11 fotografia de logística,SERP SAMPLE 21/09,(stock/mídia),unsplash.com; pexels.com; stock.adobe.com,(stock),NAO,NAO,mídia/stock,query genérica capturada por stock — campo aberto para página BR (ALE ~11-13),MEDIUM
legal,Q2 fotógrafo para advogados,SERP SAMPLE 21/09,Jotta Photo Pro,jottaphotopro.com.br,(serviço advocacia),SIM,SIM,site próprio + gancho editorial (Provimento OAB),usa gancho factual (Provimento 205/2021) — padrão editorial replicável sem copiar,MEDIUM
legal,Q2 fotógrafo para advogados,SERP SAMPLE 21/09,Instagram (3 reels),instagram.com,(reels),SIM,NÃO,social,reels dominam a query jurídica,MEDIUM
health,Q4 fotógrafo para médicos,SERP SAMPLE 21/09,(marketing médico),vermarketing.com.br; marketingmedico360.com (MX),(serviço),NAO,NAO,site próprio,"concorrência é de agências de marketing médico, não fotógrafos puros",LOW
health,Q5 fotógrafo para dentistas,SERP SAMPLE 21/09,(regionais),lespezani.com; cacadominiquini.net; cristianafreitasfotografia.com.br,(portfolio/serviço),SIM,SIM (portfólio genérico),site próprio,ALE aparece via portfólio genérico; páginas dedicadas regionais vencem,MEDIUM
industry,Q1 fotógrafo industrial,SERP SAMPLE 21/09,(Espanha),joanboira.com; fotografoempresas.com; inesentia.com,(serviço),NAO,NAO,site próprio,sem concorrente BR na amostra — janela,MEDIUM
video,Q5-Q8 vídeos corporativos/institucional,SERP SAMPLE 21/09,produtoras e EMD,videoinstitucional.app.br; producaodevideo.com.br; wonderproducoes.com.br; nathanfilmes.com.br,(serviço/blog),NAO,NAO,site próprio + EMD,EMD 'videoinstitucional' pos. 2; blogs 'quanto custa' pos. 1 em 'vídeos institucionais'; VC owned ausente,MEDIUM
video,Q8 vídeo de eventos corporativos,SERP SAMPLE 21/09,YouTube,youtube.com,(vídeos),NAO,NAO,vídeo,YouTube pos. 1-2 — formato vencedor,MEDIUM
photo_activation,Q2-Q4 foto lembrança/totem,SERP SAMPLE 21/09,(locadoras),photoa.com.br; clicksvipcabine.com.br; smileprint.com.br; tagfesta.com.br,(homepages/apps),NAO,NAO,site próprio/app,setor dominado por locadoras regionais e apps; ALE só presente em 'impressa na hora' (pos. 7),MEDIUM
photo_activation,Q4 totem fotográfico,SERP SAMPLE 21/09,casamentos.com.br,casamentos.com.br,(diretório com reviews),NAO,NAO,diretório,diretório com reviews 5.0 ranqueia — prova de que reviews alimentam o cluster,LOW
drone,Q6-Q9,SERP SAMPLE 21/09,(empresas de drone/topografia),dronefilmagemaerea.com; agenciaadsbrasil.com; mflydrones; maxdrone,(serviço),NAO,NAO,site próprio,concorrência não-fotográfica; ALE ausente; demanda GSC zero,MEDIUM
corporate,Q1 fotógrafo corporativo (genérica),SERP SAMPLE 21/09,(Espanha/LatAm),joanboira.com; barcelonaphotographer.com; dlcorporatephoto.com,(serviço/blog),NAO,NAO,site próprio,query genérica sem BR no top — não perseguir; foco em +SP,LOW
