"engine","prompt_id","citation_type","domain","url","page_title","owned_or_external","correct_for_intent","notes"
"SEARCH SNIPPET SAMPLING","01","MAIN DOMAIN","alefotografo.com.br","/fotografo-corporativo","Fotógrafo Corporativo em São Paulo","OWNED","YES","ordem ~2"
"SEARCH SNIPPET SAMPLING","02","MAIN DOMAIN","alefotografo.com.br","/fotografo-corporativo","id","OWNED","YES","ordem ~2; dup srsltid ~4"
"SEARCH SNIPPET SAMPLING","05","OWNED LEGACY DOMAIN","alefotografo.com.br","/loja?img_picture=...","(URL legada Joomla)","OWNED","NO","ÚNICO resultado próprio na busca ""foto profissional"" (~5) — herança legada aparecendo no lugar da money page"
"SEARCH SNIPPET SAMPLING","08","MAIN DOMAIN","alefotografo.com.br","/blog/quanto-custa-sessao-fotos-corporativas-sao-paulo","(post blog)","OWNED","PARTIAL","blog ranqueia acima da página de serviço"
"SEARCH SNIPPET SAMPLING","22","MAIN DOMAIN","alefotografo.com.br","/fotografo-corporativo/fotografo-de-eventos-corporativos","id","OWNED","YES","~2"
"SEARCH SNIPPET SAMPLING","39","MAIN DOMAIN","alefotografo.com.br","/blog/fotografia-logistica-centros-distribuicao","(post blog)","OWNED","PARTIAL","~6"
"SEARCH SNIPPET SAMPLING","39","MAIN DOMAIN","alefotografo.com.br","/fotografo-corporativo/fotografia-de-logistica","Fotografia de Logística","OWNED","YES","~10"
"SEARCH SNIPPET SAMPLING","39","OWNED DOMAIN (mirror)","alefotografos.com.br","/fotografo-corporativo/fotografia-de-logistica","(espelho)","OWNED","AMBIGUOUS","~11 — ver 07"
"SEARCH SNIPPET SAMPLING","43","OWNED (Alboom)","alemachado.com.br","/portfolio/banco-de-imagem/1683422-fotografia-para-escritorios-de-advocacia","(portfólio Alboom)","OWNED","AMBIGUOUS","~3 — owned domain leakage potencial, ver 07"
"SEARCH SNIPPET SAMPLING","43","MAIN DOMAIN","alefotografo.com.br","/fotografo-corporativo/fotografia-para-escritorios-de-advocacia","id","OWNED","YES","~4"
"SEARCH SNIPPET SAMPLING","30","NONE","","","","NONE","NO","busca dominada por produtoras (ES) — zero domínio próprio"
"SEARCH SNIPPET SAMPLING","46","NONE","","","","NONE","NO","mídia/stock dominam (Estadão, Shutterstock, NatGeo)"
"SEARCH SNIPPET SAMPLING","29","NONE","","","","NONE","NO","locadoras de totem regionais dominam"
