domain,url,path,http_status,redirect_target,canonical,title,meta_description,h1,robots_meta,content_type,word_count_aprox,page_type,primary_topic,primary_intent,indexable,in_sitemap,internal_links_in_aprox,internal_links_out_aprox,last_modified_if_available,notes
"alefotografo.com.br","https://www.alefotografo.com.br/","/","200","","https://www.alefotografo.com.br/","Fotógrafo Corporativo em São Paulo Fotografia Profissional","Fotografia corporativa em São Paulo para empresas, executivos e equipes. Retratos profissionais, eventos, indústria, logística e vídeos corporativos.","Fotógrafo profissional e corporativo em São Paulo","","text/html; charset=utf-8","1534","home","","institucional","yes","yes","","124","","schema:,LocalBusiness,ProfessionalService,FAQPage,Person; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/servicos","/servicos","200","","https://www.alefotografo.com.br/servicos","Retrato Profissional em SP — Todos os Formatos","Todos os formatos de retrato que eu fotografo em São Paulo: individual, LinkedIn, executivo, equipes, médicos, advogados e clínicas — com direção de pose.","Todos os serviços de foto e vídeo","","text/html; charset=utf-8","484","service","","servico","yes","yes","","128","","schema:,LocalBusiness,ProfessionalService,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/fotografo-corporativo","/fotografo-corporativo","200","","https://www.alefotografo.com.br/fotografo-corporativo","Fotógrafo Corporativo em São Paulo Portfólio","Fotógrafo corporativo em São Paulo com mais de 30 anos de experiência. Veja trabalhos para empresas, executivos, indústria, logística, saúde e eventos.","Fotógrafo corporativo em São Paulo","","text/html; charset=utf-8","476","service","","servico","yes","yes","","114","","schema:,LocalBusiness,ProfessionalService,BreadcrumbList,FAQPage; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/fotos-corporativas","/fotos-corporativas","200","","https://www.alefotografo.com.br/fotos-corporativas","Fotos Corporativas em SP Retratos de Equipe — Alexandre…","Fotografamos o time inteiro no seu escritório — produção dirigida por Alexandre Machado, com equipe conforme o escopo — com o mesmo fundo, luz e…","Fotos corporativas em São Paulo que passam confiança","","text/html; charset=utf-8","1188","service","","servico","yes","yes","","160","","schema:,LocalBusiness,ProfessionalService,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/foto-profissional","/foto-profissional","200","","https://www.alefotografo.com.br/foto-profissional","Foto Profissional em SP Alexandre Machado — Direção de…","Ensaio de foto profissional em São Paulo com direção de pose do início ao fim. Ideal para LinkedIn, currículo e marca pessoal. Podendo ser fotografado…","Foto Profissional em São Paulo","","text/html; charset=utf-8","1131","service","","servico","yes","yes","","92","","schema:,LocalBusiness,ProfessionalService,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/foto-profissional-para-linkedin","/foto-profissional-para-linkedin","200","","https://www.alefotografo.com.br/foto-profissional-para-linkedin","Headshot para LinkedIn em SP Alexandre Machado","Eu dirijo postura, olhar e expressão para o seu headshot de LinkedIn em São Paulo. Sessão de 30 minutos, retoque natural e recorte pronto para o perfil…","Foto profissional para LinkedIn em São Paulo","","text/html; charset=utf-8","866","service","","servico","yes","yes","","86","","schema:,LocalBusiness,ProfessionalService,FAQPage,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/fotografia-para-clinicas","/fotografia-para-clinicas","200","","https://www.alefotografo.com.br/fotografia-para-clinicas","Fotos para Clínicas em SP Equipe e Ambientes — Alexandre…","Retratos da equipe da clínica e imagens de recepção, salas e atendimento em São Paulo — tudo em uma agenda, podendo ser fotografado pessoalmente por Alexandre…","Fotografia para clínicas em São Paulo","","text/html; charset=utf-8","1207","service","","servico","yes","yes","","119","","schema:,LocalBusiness,ProfessionalService,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/fotografia-executiva","/fotografia-executiva","200","","https://www.alefotografo.com.br/fotografia-executiva","Retrato Executivo em SP Alexandre Machado — Diretoria e…","Retrato de liderança que pode ser fotografado pessoalmente por Alexandre Machado, conforme agenda, no seu escritório ou em estúdio: 15 minutos por executivo e…","Fotografia executiva em São Paulo para diretoria, sócios e lideranças","","text/html; charset=utf-8","1315","service","","servico","yes","yes","","115","","schema:,LocalBusiness,ProfessionalService,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/fotos-profissionais-medicos","/fotos-profissionais-medicos","200","","https://www.alefotografo.com.br/fotos-profissionais-medicos","Fotos para Médicos e Clínicas em SP Alexandre Machado","Retrato profissional de médicos e dentistas em São Paulo, com jaleco ou traje social: confiança sem distância, podendo ser fotografado pessoalmente por…","Fotos profissionais para médicos e clínicas em São Paulo","","text/html; charset=utf-8","1261","service","","servico","yes","yes","","116","","schema:,LocalBusiness,ProfessionalService,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/fotografia-para-advogados","/fotografia-para-advogados","200","","https://www.alefotografo.com.br/fotografia-para-advogados","Fotos para Advogados em SP Alexandre Machado — Sócios e…","Retratos de sócios e da banca inteira em São Paulo, feitos no próprio escritório: postura sóbria, luz de retrato e padrão único para site, LinkedIn e…","Fotografia profissional para advogados e escritórios de advocacia","","text/html; charset=utf-8","1263","service","","servico","yes","yes","","116","","schema:,LocalBusiness,ProfessionalService,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/eventos-corporativos","/eventos-corporativos","200","","https://www.alefotografo.com.br/eventos-corporativos","Fotos de Pessoas em Eventos de Empresa — SP Alexandre…","Registro de pessoas em eventos de empresa em São Paulo: retratos no local, fotos de equipe, palestrantes e homenageados, com direção de pose e prévia no mesmo…","Retratos e fotos de equipe em eventos de empresa","","text/html; charset=utf-8","1309","service","","servico","yes","yes","","116","","schema:,LocalBusiness,ProfessionalService,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/fotografo-empresarial","/fotografo-empresarial","200","","https://www.alefotografo.com.br/fotografo-empresarial","Fotógrafo Empresarial em SP Pessoas no Trabalho","Imagens de gente trabalhando em São Paulo: equipe, liderança, escritório e operação, com retratos individuais na mesma visita. Atendimento direto comigo.","Fotógrafo empresarial em São Paulo para equipe, escritório e operação","","text/html; charset=utf-8","1363","service","","servico","yes","yes","","116","","schema:,LocalBusiness,ProfessionalService,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/fotografo-de-feira-de-negocios","/fotografo-de-feira-de-negocios","200","","https://www.alefotografo.com.br/fotografo-de-feira-de-negocios","Fotos de Equipe em Feiras de Negócios — SP Alexandre…","Fotos do time comercial em feiras de negócios em São Paulo: retratos no stand, atendimentos e apresentações, prontos para LinkedIn e propostas. Prévia no…","Retratos da equipe comercial em feiras de negócios","","text/html; charset=utf-8","1349","service","","servico","yes","yes","","116","","schema:,LocalBusiness,ProfessionalService,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/portfolio","/portfolio","200","","https://www.alefotografo.com.br/portfolio","Portfólio — Cases de Fotografia Corporativa em SP","Cases reais de retrato corporativo, médicos, advogados, empresas, eventos, feiras, indústria e vídeo em São Paulo. Veja a prova e fale direto comigo pelo…","Cases de fotografia corporativa em São Paulo","","text/html; charset=utf-8","844","case","","portfolio","yes","yes","","161","","schema:,LocalBusiness,ProfessionalService,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/videos","/videos","200","","https://www.alefotografo.com.br/videos","Vídeos Corporativos em São Paulo Produção para Empresas","Produção de vídeos corporativos em São Paulo para empresas: institucional, eventos, treinamento e comunicação interna, com roteiro, captação e edição.","Vídeos corporativos em São Paulo para empresas que precisam vender, treinar e comunicar melhor.","","text/html; charset=utf-8","1248","video","","portfolio-video","yes","yes","","182","","schema:,LocalBusiness,ProfessionalService,Service,CollectionPage,FAQPage,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; (11) 91355-0533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/video-institucional","/video-institucional","200","","https://www.alefotografo.com.br/video-institucional","Vídeo Institucional em São Paulo Produção para Empresas","Produção de vídeo institucional em São Paulo para apresentar empresas, estruturas, equipes, serviços e operações. Roteiro, captação, direção e edição.","Vídeo institucional para empresas em São Paulo","","text/html; charset=utf-8","737","service","","servico-video","yes","yes","","93","","schema:,LocalBusiness,ProfessionalService,Service,FAQPage,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/video-de-eventos-corporativos","/video-de-eventos-corporativos","200","","https://www.alefotografo.com.br/video-de-eventos-corporativos","Vídeo de Eventos Corporativos em São Paulo Produção","Produção de vídeo de eventos corporativos em São Paulo: congressos, convenções, fóruns e premiações, com captação no local, entrevistas e edição.","Vídeo de eventos corporativos em São Paulo","","text/html; charset=utf-8","764","service","","servico","yes","yes","","93","","schema:,LocalBusiness,ProfessionalService,Service,FAQPage,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
"alefotografo.com.br","https://www.alefotografo.com.br/video-para-feiras-e-stands","/video-para-feiras-e-stands","200","","https://www.alefotografo.com.br/video-para-feiras-e-stands","Vídeo para Feiras e Stands em São Paulo Produção","Produção de vídeos para feiras e stands em São Paulo. Cobertura audiovisual para expositores, empresas e marcas em feiras de negócios e eventos profissionais.","Vídeos para feiras e stands em São Paulo","","text/html; charset=utf-8","756","service","","servico","yes","yes","","92","","schema:,LocalBusiness,ProfessionalService,Service,FAQPage,BreadcrumbList; tel:+55-11-91355-0533; +5511913550533; 5511913550533; 11913550533"
