problem,evidence,form_factor,metric_affected,estimated_impact,file_component_provavel,recommended_fix,risk,priority
TTFB de campo p75 2.1-2.3s (Poor em 32-49% dos loads),"CrUX: TTFB 2.3s mobile (21/30/49), 2.1s desktop (39/29/32); lab frio 1.4-2.0s",ambos,"LCP (54% da fase TTFB no lab), FCP",ALTO,"SSR TanStack Start na Lovable + proxy /api/public/img","Cache de página no edge (CF) ou ISR; investigar cold start do deployment Lovable; reduzir trabalho do server.ts por rota",MEDIO (HTML dinâmico),P1
Imagem LCP servida via proxy do app originando em CDN legado rackcdn.com,"LCP element: <img> /api/public/img?src=...rackcdn.com... 1920x1275, phases TTFB 54% + Load Time 44%",ambos,LCP,ALTO,"src/lib/img.ts (proxy) + hero da home","Mover hero para asset próprio (/img ou __l5e) com cache longo; ou pré-buscar/cachear no proxy com TTL; manter eager+fetchpriority (já corretos)",BAIXO,P1
Fontes self-hosted sem cache,"uses-long-cache-ttl: 5 arquivos /fonts/*.woff2 com TTL 0 (no-cache)",ambos,FCP (revisitas),MEDIO,"public/fonts (dm-sans 400/500/600/700, space-grotesk 600)","cache-control public max-age longo (fontes são estáveis); se houver hash no nome usar immutable",BAIXO,P2
Imagens servidas maiores que o necessário,"uses-responsive-images: ~97 KiB (mobile) / ~71 KiB (desktop) de economia em 4 imagens via /api/public/img (rackcdn)",ambos,LCP/FCP (bytes),MEDIO,"srcset gerado por img.ts","Ajustar sizes/srcset do proxy (a imagem LCP renderiza menor que 1920 em mobile); revisar widths exportados",BAIXO,P2
Unused JavaScript 43 KiB,"unused-javascript: vendor-tanstack-LKeuBVx9.js (~43 KiB não usado na home)",ambos,TBT (hoje 0 — ganho preventivo),BAIXO,"code splitting do bundle vendor","Analisar se a home importa rotas/modulos desnecessários; code-split por rota (TanStack já lazy — revisar imports do __root)",BAIXO,P3
Cache curto de recursos de terceiros,"~flock.js TTL 1500s; thumbnails YouTube hqdefault TTL 7200s (aceitável)",ambos,Revisitas,BAIXO,"script Lovable analytics; img.youtube.com","Sem ação obrigatória; 2h do YouTube é razoável",BAIXO,P3
CSP ausente (enforcement),"Best Practices: 'No CSP found in enforcement mode' (High)",ambos,segurança (não performance),MEDIO (segurança),headers da plataforma Lovable/Cloudflare,"Definir CSP via meta/header na borda quando a plataforma permitir; mapear fontes reais antes (gtag/youtube/img proxy)",MEDIO (quebrar recursos se mal feito),P2
HSTS sem preload,"Best Practices: 'No preload directive found' (Medium)",ambos,segurança,BAIXO,Cloudflare edge,"Adicionar preload ao HSTS somente quando todos os subdomínios estiverem sob HTTPS (alefotografos/videoscorporativos usam apex próprio — validar antes)",BAIXO,P3
COOP/XFO/Trusted Types ausentes,"Best Practices: COOP High, XFO/CSP frame-ancestors High, Trusted Types High",ambos,segurança,BAIXO,headers da plataforma,"Avaliar XFO/frame-ancestors na borda (cuidado com embeds de vídeo legítimos)",MEDIO,P3
Source maps ausentes no JS de produção,"Best Practices: vendor JS sem source map",ambos,debuggabilidade,BAIXO,build Vite,"Gerar source maps no build (não expor publicamente se preferir); efeito indireto: melhora auditorias futuras",BAIXO,P3
Links idênticos com propósitos iguais (a11y),"Relatório desktop: 2 links 'Solicitar orçamento' com hrefs wa.me diferentes (textos de utm distintos)",desktop,a11y (score mantido 100 — item 'Unscored'),BAIXO,"componentes de CTA da home","Padronizar descrição de links com mesmo destino (acessibilidade de leitores de tela)",BAIXO,P3
DOM size 836 elementos,"dom-size score 0.5 (836 nós)",ambos,manutenção/INP futuro,BAIXO,"estrutura da home (índice de 72 vídeos no SSR)","Sem ação agora — monitorar; INP em campo está 92ms (ótimo)",BAIXO,P3
