query,date,position,domain,url,type,flag,note
fotógrafo corporativo,2026-09-21,1,dlcorporatephoto.com,,(blog),THIRD-PARTY,amostra contaminada ES; único BR: Curitiba
fotógrafo corporativo,2026-09-21,2,barcelonaphotographer.com,,(serviço),THIRD-PARTY,ES
fotógrafo corporativo,2026-09-21,4,agnaldoteixeira.com.br,,(blog),THIRD-PARTY,BR fora SP
fotógrafo corporativo,2026-09-21,6,crealityphotostudio.com.br,,(serviço),THIRD-PARTY,Curitiba
fotógrafo corporativo são paulo,2026-09-21,1,instagram.com/lucascardosoph,,(social),THIRD-PARTY,Instagram pos. 1 — autoridade social
fotógrafo corporativo são paulo,2026-09-21,2,alefotografo.com.br,/fotografo-corporativo,página de serviço,OWNED-YES,
fotógrafo corporativo são paulo,2026-09-21,3,andersonfotografo.com.br,,(serviço),THIRD-PARTY,
fotógrafo corporativo são paulo,2026-09-21,5,www.alefotografo.com.br,/,homepage,OWNED-YES,srsltid
fotógrafo corporativo são paulo,2026-09-21,7,hernanmuttoni.com,,(serviço),THIRD-PARTY,
fotógrafo corporativo são paulo,2026-09-21,8,jottaphotopro.com.br,,(portfolio),THIRD-PARTY,3 URLs na mesma query
fotógrafo corporativo são paulo,2026-09-21,10,evorastudio.com.br,,(serviço),THIRD-PARTY,
foto profissional,2026-09-21,1,fotoslinkedin.com.br,,(blog),THIRD-PARTY,2x na query — domina intenção informacional
foto profissional,2026-09-21,3,restauraai.com.br,,(blog/app),THIRD-PARTY,
foto profissional,2026-09-21,4,menzzo.com.br,,(blog),THIRD-PARTY,
foto profissional,2026-09-21,5,www.alefotografo.com.br,/loja,página legada,OWNED-YES,único resultado owned = URL legada /loja
fotos profissionais,2026-09-21,1,pexels.com,,(banco de imagens),THIRD-PARTY,
fotos profissionais,2026-09-21,2,pt.linkedin.com,,(social),THIRD-PARTY,LinkedIn Pulse
fotos profissionais,2026-09-21,3,kapwing.com,,(app-ferramenta),THIRD-PARTY,gerador IA
fotos profissionais,2026-09-21,6,rejanewolff.com.br,,(serviço),THIRD-PARTY,também em retrato profissional
fotos profissionais,2026-09-21,9,fotosdeperfil.org,,(blog),THIRD-PARTY,NÃO é owned (owned = fotosprofissionais.com.br)
fotos profissionais,2026-09-21,~,—,,—,—,ALE AUSENTE no top 10; nenhum owned apareceu
fotografia corporativa,2026-09-21,1,risnicfotografia.com.br,,(serviço),THIRD-PARTY,também pos.1 em retrato corporativo
fotografia corporativa,2026-09-21,2,loripaula.com,,(homepage),THIRD-PARTY,
fotografia corporativa,2026-09-21,~,—,,—,—,ALE AUSENTE (só 6 resultados; mistura PT/ES)
fotos corporativas,2026-09-21,1,insmind.com,,(app-ferramenta),THIRD-PARTY,2x na query
fotos corporativas,2026-09-21,3,www.alefotografo.com.br,/blog/quanto-custa-sessao-fotos-corporativas-sao-paulo,blog,OWNED-YES,blog ranqueia; money page ausente
fotos corporativas,2026-09-21,7,neopix.com.br,,(serviço),THIRD-PARTY,
fotos corporativas,2026-09-21,9,retratocorporativo.com,,(homepage),THIRD-PARTY,domínio exato-keyword
retrato profissional,2026-09-21,2,crealityphotostudio.com.br,,(serviço),THIRD-PARTY,
retrato profissional,2026-09-21,4,evorastudio.com.br,,(serviço),THIRD-PARTY,
retrato profissional,2026-09-21,5,www.alefotografo.com.br,/blog/fotografo-5-poses-para-retrato-corporativo,blog,OWNED-YES,
retrato profissional,2026-09-21,8,ivandiasfoto.com.br,,(serviço),THIRD-PARTY,
retrato corporativo,2026-09-21,1,risnicfotografia.com.br,,(serviço),THIRD-PARTY,
retrato corporativo,2026-09-21,3,www.alefotografo.com.br,/blog/fotografo-5-poses-para-retrato-corporativo,blog,OWNED-YES,
retrato corporativo,2026-09-21,5,evorastudio.com.br,,(serviço),THIRD-PARTY,
retrato corporativo,2026-09-21,6,www.alefotografo.com.br,/fotografo-corporativo/retrato-corporativo,página de serviço,OWNED-YES,
foto de perfil profissional,2026-09-21,1,extra.globo.com,,(mídia),THIRD-PARTY,mídia grande domina
foto de perfil profissional,2026-09-21,4,rejanewolff.com.br,,(serviço),THIRD-PARTY,
foto de perfil profissional,2026-09-21,~,—,,—,—,ALE AUSENTE; query 100% informacional
foto para linkedin,2026-09-21,2,fotoslinkedin.com.br,,(blog),THIRD-PARTY,
foto para linkedin,2026-09-21,3,fotoparalinkedin.com,,(homepage),THIRD-PARTY,Peru
foto para linkedin,2026-09-21,5,blog.waalaxy.com,,(blog),THIRD-PARTY,geradores IA
foto para linkedin,2026-09-21,~,—,,—,—,ALE AUSENTE no top 7; nenhum fotógrafo BR
fotógrafo de eventos corporativos,2026-09-21,~,—,,—,—,ALE AUSENTE (só 4 resultados; MX/CL/GO)
fotografia de eventos corporativos,2026-09-21,2,alefotografo.com.br,/fotografo-corporativo/fotografo-de-eventos-corporativos,página de serviço,OWNED-YES,
