url,intent,primary_query,h1,title,word_count,atf,entity,location,service,deliverable,proof_named_in_body,faq,schema_extra,int_links_out,citable_facts_summary,geo_0_3,content_gap
/,home,fotógrafo corporativo são paulo,Fotógrafo profissional e corporativo em São Paulo,Fotógrafo Corporativo em São Paulo | Fotografia Profissional,1748,3,2,3,3,2,"Ativa Logística; Nitriflex; Fiorde; Procooler; Febrava; 5 depoentes nomeados; 4,9/144",SIM(6Q),FAQPage; WebSite; Speakable; Organization,69,"30+ anos; 300+ executivos; 200+ empresas; 4,9/144; orçamento ≤1 dia útil; estúdio Alameda Santos 1165",3,Cases sem nomes na grade; topo fala 'nossa equipe' (pessoa só no schema)
/quem-e-o-ale,entity,quem é o alê fotógrafo,Alexandre Machado — o fotógrafo por trás do Alê Fotógrafo,Quem é o Alê — Alexandre Machado | Fotógrafo Corporativo em SP,764,2,3,3,2,1,—,NÃO,ProfilePage,67,Alexandre Machado = Alê Fotógrafo; 30 anos só em corporativo; Alameda Santos 1165,2,Zero prova de cliente; sem FAQ; não descreve entregáveis
/fotografo-corporativo,hub,fotógrafo corporativo,Fotógrafo corporativo em São Paulo,Fotógrafo Corporativo em São Paulo | Portfólio por Especialidade,505,3,2,3,2,1,—,NÃO-visível(mismatch: FAQPage 4Q só no schema),FAQPage(schema-only),90,30+ anos; portfólio por especialidade; contagens por segmento (83 retratos; 61 advocacia; 54 médicas; 50 clínicas),2,FAQ no schema sem FAQ visível (risco de leitura como spam estruturado); quase sem texto próprio
/foto-profissional,serviço,foto profissional,Foto Profissional em São Paulo,Foto Profissional em São Paulo | Orçamento em 1 Dia,1290,3,3,3,3,3,—,SIM,FAQPage; WebPage; Speakable,63,"300+ executivos; 200+ empresas; 4,9/144; ≤1 dia útil; ~1h captação; 20-40min; estúdio/escritório/locação; uso comercial liberado",3,Nenhum cliente/case nomeado
/foto-profissional-para-linkedin,serviço,foto para linkedin,Foto profissional para LinkedIn em São Paulo,Foto para LinkedIn em São Paulo | Orçamento em 1 Dia,979,3,3,3,3,3,—,SIM,FAQPage; WebPage; Speakable,59,20-40min/pessoa; ≤1 dia útil; recortes quadrado/vertical/horizontal; time todo no mesmo dia; revisão na hora,3,Galeria pequena (10 imgs); sem cliente nomeado
/fotografia-executiva,serviço,retrato executivo,Fotografia executiva em São Paulo para diretoria; sócios e lideranças,Fotografia Executiva em SP | Retrato de Diretoria,1474,3,3,3,3,3,—,SIM,FAQPage; WebPage; Speakable,66,1h individual; 10-15min/pessoa em equipe; ≤1 dia útil; pode ser conduzido por Alexandre Machado; uso comercial liberado,3,Cases linkados sem nomes
/fotografia-para-advogados,serviço,foto para advogados,Fotografia profissional para advogados e escritórios de advocacia,Fotos para Advogados em SP | Retratos para Escritórios,1413,3,3,3,3,3,—,SIM,FAQPage; WebPage; Speakable,68,retratos de sócios e banca inteira in loco; postura sóbria; padrão único para site/LinkedIn/imprensa; ≤1 dia útil,3,Nenhuma banca nomeada
/eventos-corporativos,serviço,fotografia de eventos corporativos,Retratos e fotos de equipe em eventos de empresa,Fotos em Eventos Corporativos em SP | Contrate,1469,3,3,3,3,3,—,SIM,FAQPage; WebPage; Speakable,67,prévia no mesmo dia; palco/palestrantes/homenageados com direção; público: marketing/agências/RH,3,Nenhum cliente/evento nomeado
/fc/retrato-corporativo,galeria,retrato corporativo,Retrato Corporativo,Retrato Corporativo em SP | Orçamento em 1 Dia Útil,1208,2,2,2,2,1,—,SIM,ImageGallery; Photograph; FAQPage,74,20-40min individual; 10-15min/pessoa em equipe; 30+ anos,2,Copy genérica compartilhada com páginas irmãs; alts 'foto N'; zero cliente
/fc/fotografia-corporativa-em-sao-paulo,galeria,fotografia corporativa,Fotografia Corporativa,Fotografia Corporativa em São Paulo | Orçamento,1416,2,2,3,3,2,—,SIM,ImageGallery; Photograph; FAQPage,70,times de 5-60 pessoas; time de 20 em meio período; cessão de uso comercial sem limite,2,Sem stats no topo; sem clientes nomeados
/fc/fotografia-de-logistica,galeria,fotografia de logística,Fotografia de Logística,Fotografia de Logística em SP | Orçamento,1285,2,2,2,3,1,ATIVA Logística (case no blog); Fiorde; BMX,SIM,ImageGallery; Photograph; FAQPage,77,fotos de CD; armazém; expedição; frota; equipes em operação; case ATIVA; vídeos para Fiorde e BMX,2,Case ATIVA só linkado; entregável remetido a outra página
/fc/fotografo-de-eventos-corporativos,galeria,fotógrafo de eventos corporativos,Fotógrafo de Eventos Corporativos,Fotógrafo de Eventos Corporativos em SP | Orçamento,749,2,2,2,2,1,—,SIM,ImageGallery; Photograph; FAQPage,69,cobertura foto e vídeo; conteúdo pós-evento; 30+ anos,2,Thin; zero cliente nomeado
