source,why_relevant,potential_link_or_mention,effort,risk
"Google Business Profile do Alê","fonte nº 1 dos concorrentes em local pack; 144 avaliações 4.9 já existem","perfil completo com serviços e fotos de cases (ATIVA; R&Q; eventos) — reforça entity + reviews que alimentam totem/eventos","baixo (manual proprietário)","nenhum"
"YouTube do Alê (canal próprio)","8 vídeos ATIVA + R&Q + Nitriflex + SQ; SERP proxy mostrou YouTube pos. 1 em 2 queries","títulos/descrições otimizados apontando para /videos/* e cases; playlists por serviço","baixo-médio (manual)","nenhum"
"LinkedIn do Alê","depoimento R&Q já tem fonte LinkedIn; cluster LinkedIn forte no GSC","posts dos cases publicados no perfil da empresa e pessoal (Alexandre Machado)","baixo (manual)","nenhum"
"Instagram do Alê","reels de concorrentes dominam 'fotógrafo para advogados' e aparecem em eventos","reels de bastidores jurídicos/eventos com link na bio para /fotografia-para-advogados","médio (conteúdo proprietário)","nenhum"
"Clientes citáveis (site deles)","Tecnisa; Convatec; IBIS; SQ Química; Nitriflex; Fiorde; BMX; Galena; Germed; ABRADILAN; Accor; Procooler; Febrava; G-Tech; Foseco; Hausy; UNIPAC; Sustainable Foods; Copapharma; IBDE; FCE Pharma; Beauty Fair; Abrafati (todos já nomeados publicamente em /videos e home)","pedido de crédito/link 'fotografia/vídeo: Alê Fotógrafo' nas páginas de cases/parcerias dos clientes — 1 e-mail por cliente","médio (1 e-mail cada)","baixo — só pedir onde há relação real; sem pagamento"
"Case ATIVA (blog publicado)","'a empresa do setor com a qual mais produzimos' — caso mais forte do portfólio","divulgação do blog/case em grupos do setor logístico e no LinkedIn","baixo","nenhum"
"Associações/eventos do setor (Febrava; FCE Pharma; Beauty Fair; Abrafati — feiras onde o Ale já produziu)","presença comprovada em feiras = listing de fornecedor legítimo","perfil de fornecedor/expositor com link; galeria oficial citando o fotógrafo","médio (contato organizador)","baixo"
"Doctoralia/diretórios de saúde","páginas de médicos citam Doctoralia como canal","perfil do Alê em diretórios de fotografia corporativa para saúde (onde existirem)","baixo","baixo — evitar diretórios de baixa qualidade"
"Diretórios corporativos de fornecedores (não casamento)","cluster foto lembrança mostra diretório (casamentos.com.br) ranqueando","cadastro em diretórios de fornecedores corporativos/eventos empresariais com reviews","baixo-médio","médio — escolher só diretórios com curadoria real"
"Materiais dos clientes (propostas; apresentações)","banco de imagens ATIVA já usado em propostas (blog case)","acordo de crédito visual nos PDFs/materiais que usam as fotos","baixo","nenhum"
"Imprensa/setor (matérias sobre fotografia corporativa)","jottaphotopro usa gancho editorial (OAB 205/2021) — autoridade de conteúdo","artigo opinativo do Alexandre em portais de negócios/advocacia sobre imagem profissional","alto (relacionamento)","nenhum"
"P18A.4/P18A.5 correções nos domínios secundários","ales espelha 98% do conteúdo; footer errado; llms.txt com identidade errada — P0 documentado","executar as ações manuais P18A.5 (proprietário) — remove confusão de entidade que dilui citações","baixo (manual)","nenhum — mas sem isso IAs continuam vendo sinais fracionados"
