cluster,gsc_demand_impr_month,current_position,current_ctr,serp_presence_21_09,geo_readiness,case_support,content_gap,entity_gap,priority,action
foto profissional,"29.140 (38 queries)","3,92 na query head; money page ~59 impr","0,12% na head","presente só via /loja (legado) e blog",media-alta,"case futuro pode nomear prova","intenção sem dono comprovado; home absorve","nenhum — entidade forte",VERY HIGH,"query×page no GSC; links dos 8 posts (16); topo de /foto-profissional já forte"
fotografia corporativa,"~2.400 queries head + 8.240 impr página","17,69 na página de demanda; 11,12 hub","1,0% página","ausente em 'fotografia corporativa'; blog em 'fotos corporativas'",media-alta,"ATIVA/Tecnisa como prova corporativa","página-galeria sem stats/clientes; FAQ mismatch no hub",nenhum,HIGH,"corrigir mismatch FAQ; reforço topo+prova; hierarquia de links (06)"
advocacia,"5.194","4,90 página; 9,60 query R&Q","0,7-1,0%","4 URLs owned na mesma query (canibalização)",media,"R&Q pronto (19/20)","página /fc advocacia sem FAQ; zero banca nomeada","canibalização owned (ales/alemachado/fotosprofissionais)",VERY HIGH,"case R&Q; elevar /fc advocacia; decidir ecossistema jurídico (10)"
LinkedIn,"8.392","2-5 nas principais","~0,6%","ausente no top 7; blogs de IA dominam",alta,"—","página com 195 impr — demanda vai a outras URLs",nenhum,HIGH,"links dos 5 posts (16); cross-link foto profissional (07)"
retrato,"4.343","20-25 em retrato corporativo","baixo","blog pos. 3-6 + página pos. 6",media,"—","página-galeria copy genérica compartilhada; alts genéricos",nenhum,MEDIUM,"reforço de copy da galeria; nomes em alts quando houver case"
logistica,"421 (+4.750 impr legado ATIVA)","10,70 página; 7,35 query ATIVA","0,7%","página ~11; blog pos. 6; ales pos. 7",alta (prova nomeada),"ATIVA completo (17/18)","case vive em blog; entregável remetido","ales espelhando",HIGH,"case ATIVA em página própria; topo da página (09)"
eventos,"1.367 + 5.833 impr página","11,31 página; 10,51 landing","1,75-2,0%","pos. 2 em 'fotografia de eventos corporativos'",alta,"nomes de vídeo já públicos (Tecnisa; Convatec; IBDE)","duas URLs sem divisão clara; zero cliente nomeado",nenhum,HIGH,"reforço topo+prova; links cruzados foto+vídeo (08)"
saude,"1.666","1-5 nas principais","~1,6%","ausente em 'fotógrafo para médicos'; portfólio genérico em dentistas",alta,"Dra. Luciana latente (55 imgs; briefing pendente)","prova nomeada ausente das páginas","fragmentação 5-6 URLs (manter)",MEDIUM,"não consolidar; prova nomeada pós-briefing (11)"
video comercial,"residual (cluster GSC é informacional)","—","—","0/4 queries; VC ausente",alta (prova),"/videos nomeia 20+ clientes","seo_title dos 72 não usado; 5 tipos sem landing","VC ocioso",MEDIUM,"usar seo_title; cases foto+vídeo; medir VC no test pack (15)"
totem/foto lembranca,"451 + 5.555 impr página","7,61 página impressa-na-hora; 9,27 totem","2,0% página","pos. 7 impressa na hora; ausente em totem",baixa-media,"feiras: SQ; G-Tech; FCE Pharma (prova de feira)","sem FAQ; sem dados de capacidade",nenhum,MEDIUM,"FAQ factual + diferencial corporativo no topo (14)"
industria,"99 + 349 impr página","14,71 página; 18,64 query","3,2%","ausente; SERP sem BR",baixa,"vídeos Nitriflex/SQ/Foseco nomeados","página mais fraca do audit (GEO 1); zero cliente",nenhum,MEDIUM,"reforço factual único; cross-proof vídeos (12)"
drone,"0","—","—","ausente nas 4 queries",baixa,"nenhum comprovado","—","nenhum",LOW,"manter página; NÃO criar página de obra (13)"
fotografo corporativo sao paulo,"—","2-5 (proxy + GSC)","—","pos. 2-5 (2 URLs owned)",alta,"—","hub com FAQ mismatch",nenhum,HIGH,"mesmas ações de fotografia corporativa (06)"
