"cluster","prompt_id","engine","competitor","domain","citation_url","ale_present","ale_cited","source_type","observed_advantage","evidence_level"
"corporate","01","SERP SAMPLE","Jotta Photo Pro","jottaphotopro.com.br","(múltiplas páginas de portfólio)","SIM","SIM","site próprio (páginas de nicho)","estratégia de múltiplas páginas de portfólio por segmento; 3 aparições na mesma busca","MEDIUM"
"events","22","SERP SAMPLE","Jotta Photo Pro","jottaphotopro.com.br","(portfólio eventos)","SIM","SIM","site próprio","mesma estratégia de páginas por nicho","MEDIUM"
"events","22","SERP SAMPLE","Hernan Muttoni","hernanmuttoni.com","(2 URLs + post Instagram)","SIM","SIM","site próprio + Instagram","Instagram ranqueou ~1 — autoridade social superando sites","MEDIUM"
"legal","43","SERP SAMPLE","Jotta Photo Pro","jottaphotopro.com.br","(portfólio advocacia)","SIM","SIM","site próprio","presença recorrente (3/12 buscas)","MEDIUM"
"portrait","04","SERP SAMPLE","(ferramentas de IA)","insmind, nanobanana.art, aiselfi.es...","(apps de foto IA)","NAO","NAO","ferramenta de IA","desintermediação: apps de IA ocupam o topo das queries genéricas de perfil","MEDIUM"
"linkedin","17","SERP SAMPLE","fotoslinkedin.com.br","fotoslinkedin.com.br","(blog de prompts IA)","NAO","NAO","blog","conteúdo de prompts IA ranqueia acima de fotógrafos","MEDIUM"
"video","30","SERP SAMPLE","produtoras (ES)","storisell.es, destaka.es, hihatfilms.es...","(sites próprios)","NAO","NAO","site próprio","VC ausente; produtoras estrangeiras dominam a amostra","MEDIUM"
"video","33","SERP SAMPLE","(blogs BR)","videoinstitucional.app.br, cappobiancoproducoes...","(posts ""quanto custa""/guias)","NAO","NAO","blog","conteúdo de preço/guia ranqueia para intenção de vídeo","MEDIUM"
"drone","46","SERP SAMPLE","(mídia/stock)","estadao.com.br, shutterstock...","","NAO","NAO","mídia/stock","SERP dominada por mídia — pouco espaço orgânico local","LOW"
"photo_activation","29","SERP SAMPLE","(locadoras de totem)","clicksvipcabine, photoa, smileprint...","(homepages)","NAO","NAO","site próprio","locadoras regionais dominam; Alê ausente","MEDIUM"
"industry","42","SERP SAMPLE","Ivan Almeida","fotografoivanalmeida.com.br","(página fotografia-logistica)","não testada na amostra","","site próprio","presente em amostras anteriores (P18A.4)","LOW"
